title,description,event_type,actor,recipient,actor_id,recipient_id,location,iso3,latitude,longitude,num_sources,date_publish,source_domain,url
How powerful will South Korea’s acting president be?,South Korea's Prime Minister Han Duck-soo will serve as acting president for up to six months. Read more at straitstimes.com.,ASSAULT,South Korea,,Q884,,South Korea,KOR,37.566,126.9784,1,2024-12-14 16:31:00,['www.straitstimes.com'],['https://www.straitstimes.com/asia/east-asia/how-powerful-will-south-koreas-acting-president-be']
Musk says US is demanding he pay penalty over disclosures of his Twitter stock purchases,Elon Musk says the Securities and Exchange Commission wants him to pay a penalty or face charges involving ...,SANCTION,Elon Musk,,Q317521,,US,,,,1,2024-12-14 16:02:38,['www.9news.com.au'],['https://www.9news.com.au/world/musk-says-us-is-demanding-he-pay-penalty-over-disclosures-of-his-twitter-stock-purchases/113837b7-cc92-4333-b058-5ab19ee67ca5']
"Man, 23, Shot and Killed in Downtown Fredericksburg","At 1 a.m. on Saturday, December 14, 2024, Fredericksburg Police responded to reports of gunfire in the 400 block of William Street in Downtown Fredericksburg.",ASSAULT,Fredericksburg,William Street,,,Fredericksburg,USA,38.30318,-77.46054,2,2024-12-14 16:01:49,"['www.potomaclocal.com', 'wjla.com']","['https://www.potomaclocal.com/2024/12/14/man-23-shot-and-killed-in-downtown-fredericksburg/', 'https://wjla.com/news/local/man-shot-killed-in-downtown-fredericksburg-police-investigating-deadly-shooting-investigation-dmv-gun-crime-spotsylvania-stafford-county-sheriff-death-william-street-james-monroe-museum']"
"At Damascus mosque, Syrian leader calls for justice without revenge","At the iconic Umayyad Mosque, worshippers attend the first prayers since the government collapse",MOBILIZE,Umayyad Mosque,,Q183562,,Umayyad Mosque,SYR,33.5102,36.29128,1,2024-12-14 15:22:51,['www.voanews.com'],['https://www.voanews.com/a/at-damascus-mosque-syrian-leader-calls-for-justice-without-revenge/7901359.html']
"Drone activity in New York shut down runways at Stewart Airfield, governor says","Drone activity forced runways at New York's Stewart Airfield to shut down Friday night, according to Gov. Kathy Hochul.",MOBILIZE,Kathy Hochul,New York,Q45956,Q22654,New York,,,,1,2024-12-14 12:40:00,['www.cbsnews.com'],['https://www.cbsnews.com/news/drones-new-york-stewart-airfield/']
"US general discusses Syria, other regional issues in Israel visit",The world has been watching to see if Syria's new rulers can stabilise the country. Read more at straitstimes.com.,CONSULT,US,Syria,Q30,Q858,Syria,SYR,33.5102,36.29128,1,2024-12-14 12:04:06,['www.straitstimes.com'],['https://www.straitstimes.com/world/us-general-discusses-syria-other-regional-issues-in-israel-visit']
"Wike most devoted, loyal party member - PDP","The Peoples Democratic Party, PDP, has described the Minister of the Federal Capital Territory, FCT, Nyesom Wike as one of the most devoted and loyal",SUPPORT,The,Federal,Q21121474,,Federal,ARG,-30.95465,-58.78326,1,2024-12-14 08:29:05,['dailypost.ng'],['https://dailypost.ng/2024/12/14/wike-most-devoted-loyal-party-member-pdp/']
Prince Andrew invited 'Chinese spy' to Buckingham Palace,"The businessman accused of being a Chinese spy was invited to Buckingham Palace by the Duke of York, it has been reported",CONSULT,Duke of York,Chinese,Q337222,,Chinese,,,,1,2024-12-14 08:28:17,['www.thenational.scot'],['https://www.thenational.scot/news/24794725.prince-andrew-invited-chinese-spy-buckingham-palace/']
"Syria's secret services tactics echo Nazis, Stasi methods","As more is revealed about the notorious Saydnaya Prison, it appears the tactics of the former Assad dictatorship were shaped by Nazi war criminals who fled abroad after World War II, as well as the East German Stasi.",COERCE,Assad,Nazis,Q720179,,Nazis,,,,1,2024-12-14 08:18:55,['www.dw.com'],['https://www.dw.com/en/syrias-secret-services-tactics-echo-nazis-stasi-methods/a-71041319']
"In This Druze-Israeli Town, Assad's Fall in Syria Stirs Hope and Grief","Whether the Hope Is Realistic, Residents of Majdal Shams Say, Depends on What the World – and Israel – Do Next",CONCEDE,World,,,,Hope,ISR,31.76904,35.21633,1,2024-12-14 07:34:00,['www.haaretz.com'],['https://www.haaretz.com/israel-news/twilight-zone/2024-12-14/ty-article-magazine/.highlight/in-this-druze-israeli-town-assads-fall-in-syria-stirs-hope-and-grief/00000193-c0d2-d80a-ad9b-f6ff19cd0000']
Syria’s path to stability remains deeply uncertain,The group that brought down the Assad regime might be in the process of reinventing itself but it would be foolish to imagine that the Islamists of HTS have converted to the cause of liberal democracy,MOBILIZE,Assad,,Q720179,,Assad,SYR,33.5102,36.29128,1,2024-12-14 07:00:00,['www.irishtimes.com'],['https://www.irishtimes.com/opinion/2024/12/14/syrias-path-to-stability-remains-deeply-uncertain/']
Syria: Stories from people freed from Saydnaya torture prison,"The BBC speaks to men released from Saydnaya prison - a place known as the ""human slaughterhouse"".",RETREAT,Saydnaya,,Q2031428,,Syria,SYR,33.5102,36.29128,2,2024-12-14 06:00:45,"['www.bbc.co.uk', 'www.nzherald.co.nz']","['https://www.bbc.co.uk/news/articles/cy4784vn4jdo', 'https://www.nzherald.co.nz/world/what-to-know-about-syrias-notorious-saydnaya-prison/R5IQP7UUGNEAZEPCTROG4LDUAY/']"
"Brianna Nofil, historian: ‘There’s going to be massive amounts of money made at every step of the deportation process’","The academic has recently published ‘The Migrant’s Jail: An American History of Mass Incarceration’, a book which gives clues about a system to detain immigrants which is already in place at a time when Trump’s mass expulsions loom large",SANCTION,Trump,,Q408352,,An,,,,1,2024-12-14 05:05:00,['english.elpais.com'],['https://english.elpais.com/usa/2024-12-14/brianna-nofil-historian-theres-going-to-be-massive-amounts-of-money-made-at-every-step-of-the-deportation-process.html']
Matla explosion: Is loadshedding coming back? Eskom responds,"Eskom has given an update after the explosion at Matla Power Station, and revealed whether loadshedding is returning.",CONCEDE,Eskom,,Q1367885,,,,,,1,2024-12-14 04:57:42,['www.thesouthafrican.com'],['https://www.thesouthafrican.com/news/matla-explosion-is-loadshedding-coming-back-eskom-responds/']
Syrians celebrate freedom while Sudan becomes biggest humanitarian crisis ever,"Syrians gathered Friday in Damascus' historic main mosque for the first Muslim Friday prayers, while crowds celebrated in the main square after the ouster of President Bashar Assad. Sudan has been ranked as the world's single biggest humanitarian crisis ever by the International Rescue Committee.",MOBILIZE,Bashar Assad,,Q44329,,Sudan,SDN,15.55177,32.53241,1,2024-12-14 01:05:00,['www.voanews.com'],['https://www.voanews.com/a/syrians-celebrate-freedom-while-sudan-becomes-biggest-humanitarian-crisis-ever/7900835.html']
Commentary: There is no going back for Yoon and South Korea after martial law crisis,"Until the Constitutional Court produces its ruling over President Yoon Suk Yeol’s impeachment, South Korea will have to live with political uncertainty, says the Lee Kuan Yew School of Public Policy’s Ryu Yongwook.",SANCTION,Yoon,,,,Yoon,KOR,37.566,126.9784,1,2024-12-14 00:00:00,['www.channelnewsasia.com'],['https://www.channelnewsasia.com/commentary/south-korea-impeach-president-yoon-suk-yeol-martial-law-4809036']
"At least 3 killed, scores injured in grenade attack at Tak fair","At least three people were killed and scores injured when a grenade was thrown into an annual fair in Umphang district of Tak province late on Friday night. Two teenagers, aged 16 and 17, were subsequently arrested.",ASSAULT,Umphang,,Q476973,,Tak,THA,16.86968,99.12898,1,2024-12-14 00:00:00,['www.bangkokpost.com'],['https://www.bangkokpost.com/thailand/general/2919722/at-least-3-killed-scores-injured-in-grenade-attack-at-tak-fair']
Man guilty of 2011 Kelowna gangland shooting up for statutory release,Michael Kerry Hunter Jones is up for statutory release,RETREAT,Kelowna,,Q232226,,Kelowna,CAN,49.88307,-119.48568,1,2024-12-14 00:00:00,['www.kelownacapnews.com'],['https://www.kelownacapnews.com/local-news/man-guilty-of-2011-kelowna-gangland-shooting-up-for-statutory-release-7693299']
"Kimberly Guilfoyle 'Very' Happy with Greece Appointment, Source Says 'Do Not Feel Sorry for Her' (Exclusive)","Guilfoyle is ""is not being shunted off"" to Europe following her nomination to be Donald Trump's U.S. ambassador to Greece — an appointment that was announced one day after Don Jr. was seen holding hands with Bettina Anderson",REJECT,Kimberly Guilfoyle,Europe,Q13560902,Q458,Europe,,,,1,2024-12-13 20:57:14,['news.yahoo.com'],['https://news.yahoo.com/news/kimberly-guilfoyle-very-happy-greece-205714785.html']
"Kaja Kallas: ‘Russia has been humiliated in Syria. They were there, but their thoughts were elsewhere’",The head of European diplomacy insists that now is not the time to talk about the recognition of the new Syrian government and asks the 27 for a common position on the return of refugees,CONCEDE,European,,,,Syria,SYR,33.5102,36.29128,1,2024-12-12 19:25:59,['english.elpais.com'],['https://english.elpais.com/international/2024-12-12/kaja-kallas-russia-has-been-humiliated-in-syria-they-were-there-but-their-thoughts-were-elsewhere.html']
UNGA demands immediate ceasefire in Gaza,,CONCEDE,UNGA,Gaza,Q47423,Q47492,Gaza,PSE,31.50161,34.46672,1,2024-12-12 19:08:49,['dailythepatriot.com'],['https://dailythepatriot.com/unga-demands-immediate-ceasefire-in-gaza/']
Ukraine updates: Trump criticizes 'crazy' use of US missiles,The US President-elect said he believes current president Biden's decision to lift the ban on US-supplied long-range missiles is worsening the conflict. DW has the latest.,REJECT,Biden,,Q6279,,Ukraine,UKR,50.45466,30.5238,1,2024-12-12 19:03:39,['www.dw.com'],['https://www.dw.com/en/ukraine-updates-trump-criticizes-crazy-use-of-us-missiles/live-71038711']
Democrat Sen. John Fetterman praises Trump’s pick for UN ambassador Rep. Elise Stefanik,Democrat Sen. John Fetterman declared his support for GOP Rep. Elise Stefanik's nomination to serve as US Ambassador to the United Nations.,SUPPORT,Democrat,GOP,,Q29468,GOP,,,,1,2024-12-12 18:20:28,['www.aol.com'],['https://www.aol.com/sen-john-fetterman-lumps-praise-182028772.html']
Why Europe Has Gone Cold on Israel's Blitz and 'Temporary' Occupation in Syria,"European Diplomats Watched in Astonishment This Week as Israel Wiped Out Many of Syria's Military Capabilities. In the Space of a Few Days, Tacit Support Has Turned to Concern and Harsh Words",CONCEDE,Tacit Support,Harsh Words,,,Tacit Support,SYR,33.5102,36.29128,1,2024-12-12 18:12:00,['www.haaretz.com'],['https://www.haaretz.com/israel-news/2024-12-12/ty-article/.premium/why-europe-has-gone-cold-on-israels-blitz-and-temporary-occupation-in-syria/00000193-bb34-d27e-ad97-bffdb0b80000']
'A lack of judgement': Off-duty Toronto cop who drove through police blockade while impaired demoted,"An off-duty Toronto cop who drove through a police blockade while impaired last year has been temporarily demoted, according to a recent tribunal decision.",SANCTION,Toronto,,Q172,,Toronto,CAN,43.70011,-79.4163,1,2024-12-12 18:11:00,['toronto.ctvnews.ca'],['https://toronto.ctvnews.ca/a-lack-of-judgement-off-duty-toronto-cop-who-drove-through-police-blockade-while-impaired-demoted-1.7143364']
Canadian province Alberta creates patrol unit to police US border,"(Reuters) -The Western Canadian province of Alberta will spend C$29 million ($20.46 million) to create a new sheriff-led patrol unit to police its 298-kilometer (185-mile) border with the U.S. state of Montana, the premier said on Thursday.",COOPERATE,U,,Q9747,,U,BGR,43.4125,23.225,1,2024-12-12 18:04:00,['www.thestar.com.my'],['https://www.thestar.com.my/news/world/2024/12/13/canadian-province-alberta-creates-patrol-unit-to-police-us-border']
Is the 'Greater Israel' project becoming a reality in Syria?,"SINCE the fall of former Syrian President Basher al-Assad over the weekend, Israel has launched hundreds of attacks on Syria, taking out an…",MOBILIZE,Israel,Syria,Q801,Q858,Syria,SYR,33.5102,36.29128,1,2024-12-12 18:00:00,['www.thenational.scot'],['https://www.thenational.scot/news/24791395.greater-israel-project-becoming-reality-syria/']
Have Syrians fought just to replace Assad with an extremist?,"The man behind the ouster of Bashar al-Assad has changed his name, his clothes and his brand from global jihadist to nationalist Islamist, but many remain sceptical.",MOBILIZE,Syrians,Assad,Q878607,Q720179,Bashar al - Assad,,,,1,2024-12-12 18:00:00,['www.afr.com'],['https://www.afr.com/world/middle-east/have-syrians-fought-just-to-replace-assad-with-an-extremist-20241211-p5kxnu']
Poland plays down prospect of sending peacekeepers to Ukraine,Donald Trump critical of long-range strikes against Russia carried out with US missiles by Kyiv,REJECT,Poland,Ukraine,Q36,Q212,Ukraine,UKR,50.45466,30.5238,1,2024-12-12 17:58:00,['www.irishtimes.com'],['https://www.irishtimes.com/world/europe/2024/12/12/poland-plays-down-prospect-of-sending-peacekeepers-to-ukraine/']
Labour gave IDF head immunity for secret meetings in UK,THE Labour Government secretly met with the Israeli Defence Force (IDF) chief of staff just days after an international arrest warrant was issued…,CONCEDE,THE Labour Government,UK,,Q145,UK,,,,1,2024-12-12 17:57:20,['www.thenational.scot'],['https://www.thenational.scot/news/24791600.labour-gave-idf-head-immunity-secret-meetings-uk/']
UCL: Man City condemn racist abuse aim at Kyle Walker,Manchester City have strongly condemned the racist abuse that captain Kyle Walker was subjected to online following their UEFA Champions League 2-0 defeat,ACCUSE,Manchester City,Kyle Walker,Q50602,Q59108,Kyle Walker,,,,1,2024-12-12 17:46:29,['dailypost.ng'],['https://dailypost.ng/2024/12/12/ucl-man-city-condemn-racist-abuse-aim-at-kyle-walker/']
"Israeli Air Force concludes operations on northern border, readies mission against Ir",Officials present impressive military data on fighting against Hezbollah and make preparations for a possible strike on Iranian soil following Assad's fall and Trump's return to Washington,CONCEDE,Israeli Air Force,Ir,Q462211,,Ir,,,,1,2024-12-12 17:27:02,['www.ynetnews.com'],['https://www.ynetnews.com/article/r1h9oyd41e']
Israel refuses to withdraw from Syrian border zone for now,Israeli airstrikes destroy much of Syria’s military capability,CONCEDE,Israel,Syrian,Q801,,Syrian,SYR,33.5102,36.29128,1,2024-12-12 16:39:41,['www.voanews.com'],['https://www.voanews.com/a/israel-refuses-to-withdraw-from-syrian-border-zone-for-now/7898978.html']
Parents remain outraged as OUSD declines to take action on possible school closures,The Oakland Unified School District is putting off a vote on school closures as it deals with a massive projected budget deficit for next year.,CONCEDE,OUSD,,Q7073135,,,,,,1,2024-12-12 16:31:00,['abc7news.com'],['https://abc7news.com/post/oakland-unified-school-board-declines-take-any-action-possible-closures/15644831/']
How Blair's bromance with Syria's Assad turned sour,"By 2006, Tony Blair was accusing Syria and Iran of supporting terrorism and warning they must choose whether to ""come into the international community and play by the same rules as the rest of us"" or to ""be confronted"".",ACCUSE,Syria,,Q858,,Blair,SYR,33.5102,36.29128,1,2024-12-12 16:09:00,['news.sky.com'],['https://news.sky.com/story/how-blairs-bromance-with-syrias-assad-turned-sour-13272206']
NATO’s Rutte wants a return to Cold War-level military spending,"Governments need to make more orders and defense contractors have to take more risks, NATO’s secretary-general said.",COOPERATE,NATO,Cold War,Q7184,Q8683,Cold War,,,,1,2024-12-12 16:08:59,['www.politico.eu'],['https://www.politico.eu/article/nato-secretary-general-mark-rutte-cold-war-military-spending-defense-budgets-russia/']
Homicide suspect wanted on nation-wide warrant arrested in Cambridge,A man has been arrested in Cambridge as part of a nation-wide homicide investigation.,COERCE,Cambridge,,Q350,,Cambridge,CAN,43.3601,-80.31269,1,2024-12-12 15:24:48,['kitchener.ctvnews.ca'],['https://kitchener.ctvnews.ca/homicide-suspect-wanted-on-nation-wide-warrant-arrested-in-cambridge-1.7143026']
Officer cleared of misconduct at Hindu procession,The officer sparked international headlines when he stopped a Hindu procession and arrested a community leader.,MOBILIZE,Hindu,,Q10090,,Hindu,,,,1,2024-12-12 15:11:52,['www.bbc.com'],['https://www.bbc.com/news/articles/cwyxjzwjvnko']
Trump invites China’s Xi Jinping to attend inauguration: Report,The President-elect said in an interview that he “got along with very well” with the Chinese leader. Read more at straitstimes.com.,AGREE,China,,Q148,,China,CHN,39.9075,116.39723,1,2024-12-12 08:30:00,['www.straitstimes.com'],['https://www.straitstimes.com/world/united-states/trump-invites-chinas-xi-jinping-to-attend-inauguration-report']
Israeli forces deployed 2-10 kilometers within Syria buffer zone: Source,"Israeli army seized 7 villages within buffer zone, according to Yedioth Ahronoth newspaper",CONCEDE,Israeli,Syria,,Q858,Syria,SYR,33.5102,36.29128,1,2024-12-12 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/middle-east/israeli-forces-deployed-2-10-kilometers-within-syria-buffer-zone-source/3422916']
President Erdogan highlights success of Türkiye’s foreign policy in Syria in meeting with Hungarian premier,"Recep Tayyip Erdogan meets with Hungarian Premier Orban in Ankara, urges EU cooperation on counterterrorism, Syria's reconstruction",CONSULT,Recep Tayyip Erdogan,EU,Q39259,,Hungarian,SYR,33.5102,36.29128,1,2024-12-12 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/middle-east/president-erdogan-highlights-success-of-turkiye-s-foreign-policy-in-syria-in-meeting-with-hungarian-premier/3422937']
"PKK terror group involved in drug trafficking, human smuggling in Europe: Europol","PKK members, cells in EU countries continue their fundraising, recruitment, training, and propaganda activities, says report",MOBILIZE,Europol,,Q207203,,PKK,,,,1,2024-12-12 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/europe/pkk-terror-group-involved-in-drug-trafficking-human-smuggling-in-europe-europol/3423031']
"EU-Türkiye cooperation vital for Syria’s stability, experts say","European experts urge EU to take an active role in ending Syria’s crisis, strengthen ties with Türkiye",COOPERATE,EU,,,,EU,SYR,33.5102,36.29128,1,2024-12-12 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/europe/eu-turkiye-cooperation-vital-for-syria-s-stability-experts-say/3422981']
CIS heads of government agree to allocate funds for joint air defense system,"Decision was made during meeting of Heads of Government Council of Commonwealth of Independent States in Moscow, says Russian government statement",COOPERATE,CIS,,,,CIS,RUS,55.75222,37.61556,1,2024-12-12 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/russia-ukraine-war/cis-heads-of-government-agree-to-allocate-funds-for-joint-air-defense-system/3423016']
European powers pledge 'ironclad' support for Ukraine,"Major EU nations and UK vow increased military, financial aid amid growing uncertainty about future US support under Trump presidency",AID,US,,Q30,,US,,,,1,2024-12-12 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/europe/european-powers-pledge-ironclad-support-for-ukraine/3423006']
Syrian torture survivor seeks justice for abuse in regime prisons,"Ex-detainee recounts harrowing experiences, likening detention centers to ‘Dante’s Inferno’",RETREAT,Syrian,Dante,,Q1067,,,,,1,2024-12-12 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/middle-east/syrian-torture-survivor-seeks-justice-for-abuse-in-regime-prisons/3422957']
UN 'warmly welcomes' Türkiye-mediated pact to end Somalia-Ethiopia conflict,"'We also express our appreciation to the efforts by Türkiye for bringing these two countries together, the leaders of these 2 countries together,' says spokesman",COOPERATE,Türkiye,,Q43,,Somalia,SOM,2.03711,45.34375,1,2024-12-12 00:00:00,['www.aa.com.tr'],['https://www.aa.com.tr/en/turkiye/un-warmly-welcomes-turkiye-mediated-pact-to-end-somalia-ethiopia-conflict/3423075']
Netanyahu assails media as he testifies for first time in his corruption trial,Israel's first sitting prime minister to be charged with a crime says he is being hounded becuase of his hawkish policies.,ACCUSE,Israel,,Q801,,Israel,ISR,31.76904,35.21633,1,2024-12-11 14:31:18,['www.rnz.co.nz'],['https://www.rnz.co.nz/news/world/536302/netanyahu-assails-media-as-he-testifies-for-first-time-in-his-corruption-trial']
Chris Hipkins questions why only Māori MPs rebuked over haka,"A number of non-Māori were doing the haka from their seats during the first reading of the Treaty Principles Bill and haven't been referred by the Speaker, Chris Hipkins says.",ACCUSE,Māori,,Q397777,,-,,,,1,2024-12-11 08:54:22,['www.rnz.co.nz'],['https://www.rnz.co.nz/news/political/536314/chris-hipkins-questions-why-only-maori-mps-rebuked-over-haka']
US Justice Department watchdog faults subpoenas to Congress over Trump Russia probe,WASHINGTON - The U.S. Justice Department's internal watchdog said on Tuesday that prosecutors' decision to subpoena phone and email records from members of Congress and their staff during President-elect Donald Trump's first term risked a chilling effect on congressional oversight. Read more at straitstimes.com.,ACCUSE,US Justice Department,Congress,Q1553390,,Congress,,,,1,2024-12-11 08:07:55,['www.straitstimes.com'],['https://www.straitstimes.com/world/europe/us-justice-department-watchdog-faults-subpoenas-to-congress-over-trump-russia-probe']
Wife of former Palau president arrested on Saipan,"Christa Toribiong, the wife of former Palau President Johnson Toribiong, was detained in Saipan due to an outstanding arrest warrant on the United States mainland.",RETREAT,Christa Toribiong,United States,,Q30,Saipan,MNP,15.21233,145.7545,1,2024-12-11 07:22:07,['www.rnz.co.nz'],['https://www.rnz.co.nz/international/pacific-news/536306/wife-of-former-palau-president-arrested-on-saipan']
"US making fresh efforts for Gaza ceasefire, White House aide says","NEW YORK: US President Joe Biden is dispatching more senior aides to the Middle East in the next few weeks to clinch a Gaza ceasefire deal that has eluded his administration for over a year,",CONCEDE,Gaza,,Q47492,,Gaza,PSE,31.50161,34.46672,1,2024-12-11 04:55:00,['www.channelnewsasia.com'],['https://www.channelnewsasia.com/world/us-biden-israel-hamas-ceasefire-gaza-4799206']
Israel PM vows to challenge 'absurd' corruption charges as he takes stand in trial,"The testimony is another low point for Israel's longest-serving leader, who also faces an international arr...",ACCUSE,Israel,,Q801,,,,,,1,2024-12-11 03:46:30,['www.9news.com.au'],['https://www.9news.com.au/world/benjamin-netanyahu-israel-pm-vows-to-challenge-absurd-corruption-charges-as-he-takes-stand-in-trial/e8b9d951-b4e4-4cfe-9ce3-9023710b9d29']
"Turkey hits military supplies under Kurdish control in north Syria, security source says","ISTANBUL - Turkey's intelligence agency destroyed 12 trucks loaded with missiles and heavy weapons, two tanks and ammunition stores being transported by the Kurdish YPG militia in northeast Syria, a Turkish security source said on Tuesday. Read more at straitstimes.com.",ASSAULT,Turkish,Turkey,,Q43,Turkey,TUR,39.91987,32.85427,1,2024-12-11 00:58:03,['www.straitstimes.com'],['https://www.straitstimes.com/world/europe/turkey-hits-military-supplies-under-kurdish-control-in-north-syria-security-source-says']
Death toll from blast at Eni fuel depot near Florence rises to five,"FLORENCE, Italy - The death toll from an explosion at an Eni fuel depot near Florence rose to five as the body of the last missing person was recovered, Italian investigative sources said on Tuesday. Read more at straitstimes.com.",ASSAULT,Italy,Italy,Q38,Q38,Eni,ITA,41.89193,11.24626,2,2024-12-11 00:43:04,"['www.straitstimes.com', 'www.thestar.com.my']","['https://www.straitstimes.com/world/death-toll-from-blast-at-eni-fuel-depot-near-florence-rises-to-five', 'https://www.thestar.com.my/news/world/2024/12/11/death-toll-rises-to-five-in-central-italy-fuel-depot-explosion']"
Brian Thompson murder suspect has outburst outside court,"The 26-year-old man accused of gunning down UnitedHealth executive Brian Thompson in Manhattan intends to fight his extradition to New York to face murder charges from Pennsylvania, where he was arrested.",COERCE,UnitedHealth,New York,,Q22654,New York,USA,39.18361,-96.57167,1,2024-12-10 21:01:46,['www.smh.com.au'],['https://www.smh.com.au/world/north-america/police-retrace-unitedhealth-murder-suspect-s-movements-as-details-emerge-20241211-p5kxer.html']
US disburses $20 billion Ukraine loan backed by profits from Russian assets,"The loan, thanks to interest earned on frozen Russian assets, forms a part of the G7's aid to Ukraine.",AID,Ukraine,G7,Q212,Q1764511,G7,UKR,50.45466,30.5238,1,2024-12-10 20:54:15,['www.lemonde.fr'],['https://www.lemonde.fr/en/international/article/2024/12/10/us-disburses-20-billion-ukraine-loan-backed-by-profits-from-russian-assets_6735919_4.html']
Ukraine war: US gives $20bn to Kyiv funded by seized Russian assets,"The move means Russia is being forced to ""bear the costs of its illegal war"", the US Treasury said.",SANCTION,Russia,,Q159,,Russia,RUS,55.75222,37.61556,2,2024-12-10 20:38:53,"['www.bbc.co.uk', 'www.bbc.com']","['https://www.bbc.co.uk/news/articles/c047zrzr2xro', 'https://www.bbc.com/news/articles/c047zrzr2xro']"
Syria rescuers ask Russia to pressure Assad into providing secret jail maps,Syria’s White Helmet rescuers on Tuesday called on Russia to pressure former President Bashar al-Assad into providing maps of secret jails and lists of...,RETREAT,Syria,Assad,Q858,Q720179,Assad,RUS,55.75222,37.61556,1,2024-12-10 19:54:00,['www.nzherald.co.nz'],['https://www.nzherald.co.nz/world/syria-rescuers-ask-russia-to-pressure-assad-into-providing-secret-jail-maps/PJIZR67PTZFBLCAQYG7PSRVCDU/']
Israeli strikes leave charred remains of Syrian ships,"The hulks of half-submerged Syrian missile ships smouldered in Latakia harbour on Tuesday, hours after Israel hammered its neighbour with strikes from the...",ASSAULT,Israel,,Q801,,Syrian,SYR,35.53168,35.79011,1,2024-12-10 19:42:56,['www.nzherald.co.nz'],['https://www.nzherald.co.nz/world/israeli-strikes-leave-charred-remains-of-syrian-ships/YUP66XN5XZDSXC6DD4SL3XQY5Y/']
Canada imposes sanctions on architect of China’s repression in Xinjiang,"Ottawa announces measures against eight Chinese officials over human-rights abuses in Xinjiang, Tibet and elsewhere",SANCTION,Canada,China,Q16,Q148,Chinese,,,,1,2024-12-10 19:26:41,['www.theglobeandmail.com'],['https://www.theglobeandmail.com/politics/article-china-sanctions-xinjiang-uyghurs-tibet/']
VOA Mandarin: Protesters in London call for accountability for China's human rights violations,"On this year’s International Human Rights Day on Tuesday, human rights organizations representing Chinese dissidents in exile from Hong Kong, Inner Mongolia, Xinjiang, and Tibet held a protest outside the Chinese Embassy in London. The organizations called for accountability for China's human...",PROTEST,Chinese,Chinese,,,Chinese,CAN,42.98339,-81.23304,1,2024-12-10 19:11:29,['www.voanews.com'],['https://www.voanews.com/a/voa-mandarin-protesters-in-london-call-for-accountability-for-china-s-human-rights-violations-/7896383.html']
Labour MP hosted man charged with being part of banned PKK group in parliament,"The Kurdistan Workers' Party, known as the PKK, has been a proscribed organisation since 2001 for its advocation of Kurdish self-rule through both political and armed struggle.",PROTEST,PKK,,Q152220,,PKK,,,,1,2024-12-10 19:04:00,['news.sky.com'],['https://news.sky.com/story/labour-mp-hosted-man-charged-with-being-part-of-banned-pkk-group-in-parliament-13271052']
"Car set alight, properties vandalised with anti-Israel graffiti at Woollahra in Sydney's east","The prime minister condemns ""shameless acts of violence"" in Sydney's east, after a car was set alight and multiple houses were sprayed with anti-Israel graffiti.",THREATEN,Sydney,anti,Q3130,,Sydney,AUS,-33.86785,151.20732,1,2024-12-10 18:59:25,['www.abc.net.au'],['https://www.abc.net.au/news/2024-12-11/woolahra-anti-israel-vandalism-sydney/104710858']
"Ukraine peace talks could happen in next few months, Polish Prime Minister Tusk says","The comments come after Ukrainian president Volodymyr Zelenskyy told incoming US President Donald Trump he would be open to talks, but was sceptical Vladimir Putin would want peace.",CONSULT,Polish,Ukraine,,Q212,Ukraine,UKR,50.45466,30.5238,1,2024-12-10 18:45:34,['www.abc.net.au'],['https://www.abc.net.au/news/2024-12-11/ukraine-russia-peace-talks-poland-war/104710476']
Hospital’s transfer of patient in breach of order branded a ‘disgrace’ by judge,Judge criticises ‘fundamental systems break down’ at Mater hospital in Dublin,SANCTION,Hospital,,,,Hospital,IRL,53.33306,-6.24889,1,2024-12-10 18:37:00,['www.irishtimes.com'],['https://www.irishtimes.com/crime-law/courts/2024/12/10/hospitals-transfer-of-patient-in-breach-of-order-branded-a-disgrace-by-judge/']
"Police arrest Buhari, two other suspected gunrunners, recover dangerous weapons","Operatives of the Nigeria Police Force have arrested one Buhari Suleiman and two other suspected gunrunners. The Police Public Relations Officer,",COERCE,Nigeria Police Force,Buhari Suleiman,Q836615,,Buhari Suleiman,,,,1,2024-12-10 18:27:18,['dailypost.ng'],['https://dailypost.ng/2024/12/10/police-arrest-buhari-two-other-suspected-gunrunners-recover-dangerous-weapons/']
Syrian celebrations overshadow concerns of more strife,US military officials met with allies in the region while US diplomats kept up their push to make sure a better future for Syria does not get derailed,CONCEDE,US,Syria,Q30,Q858,Syria,SYR,33.5102,36.29128,1,2024-12-10 18:19:32,['www.voanews.com'],['https://www.voanews.com/a/syrian-rebels-who-overthrew-assad-name-interim-government-leader/7896304.html']
