title,_end_time,_begin,_begin_precision,uid,description,created,last_modified,location,url
Afghanistan Presidential Election 2004,2004-10-09T08:00:00-04:00,2004-10-09T08:00:00-04:00,second,calendar.11709.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Afghanistan",https://www.ndi.org/node/11709
2016 Armenia Local Elections,2016-04-17T08:00:00-04:00,2016-04-17T08:00:00-04:00,second,calendar.18481.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Eurasia, Armenia",https://www.ndi.org/node/18481
Russia Presidential Election 2004,2004-03-14T10:00:00-05:00,2004-03-14T10:00:00-05:00,second,calendar.11734.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Eurasia, Russia",https://www.ndi.org/node/11734
Bulgaria Presidential/Local Election 2011,2011-10-23T08:00:00-04:00,2011-10-23T08:00:00-04:00,second,calendar.12048.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Bulgaria",https://www.ndi.org/node/12048
Macedonia Local Election 2004,2004-11-21T10:00:00-05:00,2004-11-21T10:00:00-05:00,second,calendar.11699.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, North Macedonia",https://www.ndi.org/node/11699
Syria Referendum 2012,2012-02-26T10:00:00-05:00,2012-02-26T10:00:00-05:00,second,calendar.12073.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Middle East and North Africa, Syria",https://www.ndi.org/node/12073
2015 Egypt Parliamentary Elections Phase 2 Runoff,2015-12-02T10:00:00-05:00,2015-11-30T10:00:00-05:00,second,calendar.12412.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary Runoff,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Middle East and North Africa, Egypt",https://www.ndi.org/node/12412
2020 Lithuania Parliamentary Election,2020-10-12T00:00:00+00:00,2020-10-11T00:00:00+00:00,day,calendar.25579.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2019-11-26T16:22:59+00:00,Eurasia,https://www.ndi.org/2020-lithuania-parliamentary-election
2015 Saudi Arabia Municipal Elections,2015-12-13T00:00:00+00:00,2015-12-12T00:00:00+00:00,day,calendar.12377.field_ndi_elect_day_date.0@www.ndi.org,Municipal,2024-07-10T13:22:59+00:00,2017-02-10T16:26:21+00:00,"Middle East and North Africa, Saudi Arabia",https://www.ndi.org/node/12377
2024 Azerbaijan Presidential Election,2024-02-08T00:00:00+00:00,2024-02-07T00:00:00+00:00,day,calendar.27077.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2023-12-07T15:20:20+00:00,Azerbaijan,https://www.ndi.org/2024-azerbaijan-presidential-election
2021 Kazakhstan Parliamentary Elections,2021-01-11T00:00:00+00:00,2021-01-10T00:00:00+00:00,day,calendar.25943.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2020-11-13T23:11:37+00:00,Kazakhstan,https://www.ndi.org/2021-kazakhstan-parliamentary-elections
Macedonia Presidential Election (First Round),2009-03-22T08:00:00-04:00,2009-03-22T08:00:00-04:00,second,calendar.11921.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, North Macedonia",https://www.ndi.org/node/11921
Ukraine Presidential (Second Round) 2004,2004-11-21T10:00:00-05:00,2004-11-21T10:00:00-05:00,second,calendar.12235.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Ukraine, Eurasia",https://www.ndi.org/node/12235
2017 Argentina Parliamentary Elections,2017-10-23T00:00:00+00:00,2017-10-22T00:00:00+00:00,day,calendar.18466.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2017-07-20T17:04:09+00:00,"Latin America & the Caribbean, Argentina",https://www.ndi.org/node/18466
Dominican Republic Presidential Election 2008,2008-05-16T08:00:00-04:00,2008-05-16T08:00:00-04:00,second,calendar.11886.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Dominican Republic, Latin America & the Caribbean",https://www.ndi.org/node/11886
Ecuador Presidential (Second Round) Election 2006,2006-11-26T10:00:00-05:00,2006-11-26T10:00:00-05:00,second,calendar.12260.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Ecuador, Latin America & the Caribbean",https://www.ndi.org/node/12260
Sierra Leone Local Election 2004,2004-05-22T08:00:00-04:00,2004-05-22T08:00:00-04:00,second,calendar.11719.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sierra Leone, Sub Saharan Africa",https://www.ndi.org/node/11719
2024 Syria Legislative Elections,2024-07-16T00:00:00+00:00,2024-07-15T00:00:00+00:00,day,calendar.27239.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:22:59+00:00,2024-05-13T15:24:09+00:00,Syria,https://www.ndi.org/2024-syria-legislative-elections
Indonesia Local Elections,2005-06-27T08:00:00-04:00,2005-06-01T08:00:00-04:00,second,calendar.18324.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Indonesia",https://www.ndi.org/node/18324
Azerbaijan Parliamentary Election 2005,2005-11-05T10:00:00-05:00,2005-11-05T10:00:00-05:00,second,calendar.11744.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Azerbaijan, Eurasia",https://www.ndi.org/node/11744
Nigeria Legislative Election 2011,2011-04-09T08:00:00-04:00,2011-04-09T08:00:00-04:00,second,calendar.12058.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Nigeria",https://www.ndi.org/node/12058
Serbia General Election 2012,2012-05-06T08:00:00-04:00,2012-05-06T08:00:00-04:00,second,calendar.12083.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Serbia",https://www.ndi.org/node/12083
2016 Comoros Presidential Election,2016-02-22T00:00:00+00:00,2016-02-21T00:00:00+00:00,day,calendar.12422.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2017-01-12T17:41:19+00:00,"Sub Saharan Africa, Comoros",https://www.ndi.org/node/12422
2019 Ukraine Presidential Election,2019-04-01T00:00:00+00:00,2019-03-31T00:00:00+00:00,day,calendar.25118.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2019-04-02T17:21:02+00:00,Ukraine,https://www.ndi.org/2019-ukraine-presidential-election
2015 Egypt Parliamentary Elections Round 2,2015-11-23T10:00:00-05:00,2015-11-21T10:00:00-05:00,second,calendar.12387.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary Phase 2,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Middle East and North Africa, Egypt",https://www.ndi.org/node/12387
2024 Mauritania Presidential Election,2024-06-30T00:00:00+00:00,2024-06-29T00:00:00+00:00,day,calendar.27122.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2024-05-21T15:22:36+00:00,Mauritania,https://www.ndi.org/2024-mauritania-presidential-election
2017 Papua New Guinea Legislative Elections,2017-06-25T00:00:00+00:00,2017-06-24T00:00:00+00:00,day,calendar.24490.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:22:59+00:00,2017-02-28T16:29:55+00:00,Papua New Guinea,https://www.ndi.org/2017-papua-new-guinea-legislative-elections
Guinea Bissau Legislative Election 2008,2008-11-16T10:00:00-05:00,2008-11-16T10:00:00-05:00,second,calendar.11906.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Guinea Bissau",https://www.ndi.org/node/11906
2019 Guatemala General Election,2019-06-17T00:00:00+00:00,2019-06-16T00:00:00+00:00,day,calendar.25143.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2019-02-11T17:08:33+00:00,Guatemala,https://www.ndi.org/2019-guatemala-general-election
2022 Kuwait Parliamentary Election,2022-09-30T00:00:00+00:00,2022-09-29T00:00:00+00:00,day,calendar.26606.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2022-08-29T18:12:32+00:00,Kuwait,https://www.ndi.org/2022-kuwait-parliamentary-election
2016 Pakistan Sahiwal Provincial Assembly By-Election,2016-09-01T00:00:00+00:00,2016-08-31T00:00:00+00:00,day,calendar.18511.field_ndi_elect_day_date.0@www.ndi.org,By-Election,2024-07-10T13:22:59+00:00,2017-01-03T20:12:00+00:00,"Asia, Pakistan",https://www.ndi.org/node/18511
Mali Municipal Election 2015,2009-04-26T08:00:00-04:00,2009-04-26T08:00:00-04:00,second,calendar.11931.field_ndi_elect_day_date.0@www.ndi.org,Municipal,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Mali",https://www.ndi.org/node/11931
Armenia Constitutional Referendum 2005,2005-11-27T10:00:00-05:00,2005-11-27T10:00:00-05:00,second,calendar.12245.field_ndi_elect_day_date.0@www.ndi.org,Constitutional Assembly,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Eurasia, Armenia",https://www.ndi.org/node/12245
2016 Guyana Local Government Elections,2016-03-18T08:00:00-04:00,2016-03-18T08:00:00-04:00,second,calendar.18476.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Latin America & the Caribbean, Guyana",https://www.ndi.org/node/18476
Hong Kong Parliamentary Election 2008,2008-09-07T08:00:00-04:00,2008-09-07T08:00:00-04:00,second,calendar.11896.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Hong Kong",https://www.ndi.org/node/11896
Egypt Parliamentary Phase 2 Election 2012,2012-02-15T10:00:00-05:00,2012-02-14T10:00:00-05:00,second,calendar.12270.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary Phase 2,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Middle East and North Africa, Egypt",https://www.ndi.org/node/12270
2023 Gabon General Election,2023-08-27T00:00:00+00:00,2023-08-26T00:00:00+00:00,day,calendar.26935.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2023-07-20T14:54:32+00:00,Gabon,https://www.ndi.org/2023-gabon-general-election
Sri Lanka Parliamentary Election 2004,2004-04-02T10:00:00-05:00,2004-04-02T10:00:00-05:00,second,calendar.11729.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Sri Lanka, Asia",https://www.ndi.org/node/11729
2024 Iran Presidential Election,2024-06-29T00:00:00+00:00,2024-06-28T00:00:00+00:00,day,calendar.27249.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2024-05-28T17:46:08+00:00,Iran,https://www.ndi.org/2024-iran-presidential-election
2023 Sierra Leone Presidential Election,2023-06-25T00:00:00+00:00,2023-06-24T00:00:00+00:00,day,calendar.26429.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:23:00+00:00,2023-04-09T21:45:42+00:00,Sierra Leone,https://www.ndi.org/2023-sierra-leone-presidential-election
Nicaragua Municipal Election 2012,2012-11-04T09:00:00-05:00,2012-11-04T09:00:00-05:00,second,calendar.12103.field_ndi_elect_day_date.0@www.ndi.org,Municipal,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Latin America & the Caribbean, Nicaragua",https://www.ndi.org/node/12103
2023 Ecuador Presidential Runoff Elections,2023-10-16T00:00:00+00:00,2023-10-15T00:00:00+00:00,day,calendar.26960.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:22:59+00:00,2023-08-23T17:34:25+00:00,Ecuador,https://www.ndi.org/2023-ecuador-presidential-runoff-elections
Uganda Referendum 2005,2005-07-28T08:00:00-04:00,2005-07-28T08:00:00-04:00,second,calendar.11754.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Uganda",https://www.ndi.org/node/11754
Nigeria Adamawa State Gubernatorial Election 2012,2012-02-05T00:00:00+00:00,2012-02-04T00:00:00+00:00,day,calendar.12068.field_ndi_elect_day_date.0@www.ndi.org,Gubernatorial,2024-07-10T13:22:59+00:00,2016-10-27T13:30:21+00:00,"Sub Saharan Africa, Nigeria",https://www.ndi.org/node/12068
2015 Egypt Parliamentary Election First Round Runoff,2015-10-29T00:00:00+00:00,2015-10-27T00:00:00+00:00,day,calendar.12407.field_ndi_elect_day_date.0@www.ndi.org,Legislative Runoff,2024-07-10T13:22:59+00:00,2017-02-10T16:41:06+00:00,"Middle East and North Africa, Egypt",https://www.ndi.org/node/12407
2020 Chile Referendum Election,2020-10-26T00:00:00+00:00,2020-10-25T00:00:00+00:00,day,calendar.25634.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:22:59+00:00,2020-04-29T16:20:09+00:00,Chile,https://www.ndi.org/2020-chile-referendum-election
2019 Burkina Faso Referendum Election,2019-03-25T00:00:00+00:00,2019-03-24T00:00:00+00:00,day,calendar.25295.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:22:59+00:00,2019-01-02T17:15:24+00:00,"Sub Saharan Africa, Burkina Faso",https://www.ndi.org/2019-burkina-faso-referendum-election
Timor-Leste Parliamentary Election 2012,2012-07-07T08:00:00-04:00,2012-07-07T08:00:00-04:00,second,calendar.12093.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Timor Leste",https://www.ndi.org/node/12093
2019 Uzbekistan Parliamentary Election,2019-12-23T00:00:00+00:00,2019-12-22T00:00:00+00:00,day,calendar.25599.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2019-11-26T16:38:40+00:00,Eurasia,https://www.ndi.org/2019-uzbekistan-parliamentary-election
2016 Benin Presidential Runoff Election,2016-03-20T08:00:00-04:00,2016-03-20T08:00:00-04:00,second,calendar.12397.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Benin",https://www.ndi.org/node/12397
Venezuela Constitutional Amendment Referendum 2009,2009-02-15T10:00:00-05:00,2009-02-15T10:00:00-05:00,second,calendar.11916.field_ndi_elect_day_date.0@www.ndi.org,Constitutional Assembly,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Latin America & the Caribbean, Venezuela",https://www.ndi.org/node/11916
Bulgaria Parliamentary Election 2009,2009-07-05T08:00:00-04:00,2009-07-05T08:00:00-04:00,second,calendar.11941.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Bulgaria",https://www.ndi.org/node/11941
2019 Romania Presidential Elections,2019-11-11T00:00:00+00:00,2019-11-10T00:00:00+00:00,day,calendar.25457.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2019-07-09T18:52:13+00:00,Central and Eastern Europe,https://www.ndi.org/2019-romania-presidential-elections
Gambia Presidential Election 2006,2006-09-23T00:00:00+00:00,2006-09-22T00:00:00+00:00,day,calendar.12255.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-27T18:54:03+00:00,"Sub Saharan Africa, Gambia, The",https://www.ndi.org/node/12255
2016 Moldova Presidential Election,2016-10-31T00:00:00+00:00,2016-10-30T00:00:00+00:00,day,calendar.18486.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2017-01-03T19:48:47+00:00,"Eurasia, Moldova",https://www.ndi.org/node/18486
Serbia Presidential Second Round Election 2008,2008-02-03T10:00:00-05:00,2008-02-03T10:00:00-05:00,second,calendar.12280.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Serbia",https://www.ndi.org/node/12280
Seychelles Legislative Election 2011,2011-10-01T08:00:00-04:00,2011-09-29T08:00:00-04:00,second,calendar.18319.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Seychelles",https://www.ndi.org/node/18319
Honduras Presidential and Parliamentary Election 2005,2005-12-27T10:00:00-05:00,2005-12-27T10:00:00-05:00,second,calendar.11739.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Latin America & the Caribbean, Honduras",https://www.ndi.org/node/11739
"West Bank, Gaza Strip Local Election",2012-10-21T00:00:00+00:00,2012-10-20T00:00:00+00:00,day,calendar.12113.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T13:49:41+00:00,"Middle East and North Africa, West Bank and Gaza",https://www.ndi.org/node/12113
Macedonia Local Election 2005,2005-03-13T10:00:00-05:00,2005-03-13T10:00:00-05:00,second,calendar.11764.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, North Macedonia",https://www.ndi.org/node/11764
Guinea-Bissau Presidential Election 2012,2012-03-19T00:00:00+00:00,2012-03-18T00:00:00+00:00,day,calendar.12078.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-27T13:33:59+00:00,"Sub Saharan Africa, Guinea Bissau",https://www.ndi.org/node/12078
2023 Mauritania Parliamentary Elections,2023-05-14T00:00:00+00:00,2023-05-13T00:00:00+00:00,day,calendar.26803.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:23:00+00:00,2023-04-09T21:40:57+00:00,Mauritania,https://www.ndi.org/2023-mauritania-parliamentary-elections
2015 Seychelles Presidential Run-off,2015-12-18T10:00:00-05:00,2015-12-16T10:00:00-05:00,second,calendar.12442.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Seychelles",https://www.ndi.org/node/12442
2019 El Salvador Presidential Election,2019-02-04T00:00:00+00:00,2019-02-03T00:00:00+00:00,day,calendar.25138.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2018-08-30T15:13:36+00:00,El Salvador,https://www.ndi.org/2019-el-salvador-presidential-election
2024 Chad Presidential Election Round 1,2024-05-07T00:00:00+00:00,2024-05-06T00:00:00+00:00,day,calendar.27142.field_ndi_elect_day_date.0@www.ndi.org,Presidential Phase 1,2024-07-10T13:22:59+00:00,2024-03-05T15:38:47+00:00,Chad,https://www.ndi.org/2024-chad-presidential-election-round-1
2016 Lebanon Local Elections Phase 1,2016-05-08T08:00:00-04:00,2016-05-08T08:00:00-04:00,second,calendar.18506.field_ndi_elect_day_date.0@www.ndi.org,Local Phase 1,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Middle East and North Africa, Lebanon",https://www.ndi.org/node/18506
Indonesia Parliamentary Election 2009,2009-04-09T08:00:00-04:00,2009-04-09T08:00:00-04:00,second,calendar.11926.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Indonesia",https://www.ndi.org/node/11926
Haiti General Second Round 2011,2011-03-20T08:00:00-04:00,2011-03-20T08:00:00-04:00,second,calendar.12300.field_ndi_elect_day_date.0@www.ndi.org,General Runoff,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Latin America & the Caribbean, Haiti",https://www.ndi.org/node/12300
2022 Kazakhstan Presidential Election,2022-11-21T00:00:00+00:00,2022-11-20T00:00:00+00:00,day,calendar.26626.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2022-11-10T22:04:17+00:00,Kazakhstan,https://www.ndi.org/2022-kazakhstan-presidential-election
Botswana Parliamentary Election 2009,2009-10-16T08:00:00-04:00,2009-10-16T08:00:00-04:00,second,calendar.11951.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Botswana",https://www.ndi.org/node/11951
2021 Chad Presidential Elections 2021,2021-04-12T00:00:00+00:00,2021-04-11T00:00:00+00:00,day,calendar.25806.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:23:00+00:00,2021-01-27T22:21:36+00:00,Chad,https://www.ndi.org/2021-chad-presidential-elections-2021
2024 Russia Presidential Election,2024-03-18T00:00:00+00:00,2024-03-15T00:00:00+00:00,day,calendar.27000.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2024-03-14T19:40:03+00:00,Russia,https://www.ndi.org/2024-russia-presidential-election
Lebanon Parliamentary (Second round) Election 2005,2005-06-05T08:00:00-04:00,2005-06-05T08:00:00-04:00,second,calendar.12265.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary Phase 2,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Middle East and North Africa, Lebanon",https://www.ndi.org/node/12265
2017 Liberia Presidential and Legislative Election,2017-10-11T00:00:00+00:00,2017-10-10T00:00:00+00:00,day,calendar.18496.field_ndi_elect_day_date.0@www.ndi.org,"Legislative, Presidential",2024-07-10T13:23:00+00:00,2018-08-01T18:55:24+00:00,"Sub Saharan Africa, Liberia",https://www.ndi.org/node/18496
Guinea-Bissau Presidential (Second Round) 2009,2009-07-27T00:00:00+00:00,2009-07-26T00:00:00+00:00,day,calendar.12290.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:22:59+00:00,2016-10-27T18:59:52+00:00,"Sub Saharan Africa, Guinea Bissau",https://www.ndi.org/node/12290
